video_id,comment,label
PE2wHqiwTf0,"The most gangster thing I've herd all year... ""when do you show up to work?"" 
""Idk could be 10 mins late, could be 10hrs late whatever"" 😂 absolutely ridiculous.... I would just make work so terrible that she would have to quit just so I wouldnt have to pay her unemployment",Negative
PE2wHqiwTf0,I feel bad for her coworkers who are probably great workers and get in shit for something small but this ho3 can walk in hours late and they do nothing,Negative
PE2wHqiwTf0,Women are wired differently than men we need our alone time off work it’s within our nature we are so connected to nature and super natural energies that it’s incredibly hard to follow the same routine’s physically that a man does it’s okay and I like that she values that and is confident,Positive
PE2wHqiwTf0,I think it's news to Amazon that she's an employee of theirs. No way their automatic system didn't boot her after more than one day of that.,Negative
PE2wHqiwTf0,Beo I swear women get so much leniency on jobs you should see it in Birmingham Al. I didn't know they were special until i rewatched.,Positive
PE2wHqiwTf0,8-1pm is a big gap. Obviously Amazon doesn’t care about quality work.,Positive
PE2wHqiwTf0,"From my understanding she is flex, she can work up to 40 hours, and if she is supposed to work for 40 then she can still choose to change her schedule. If she is flex she can choose time slots at any time that make 1 hour, 2 hours, 3 hours, 4 hours and so on up til 12 hours maximum in a day. If she is flex and blue badge(permanent employee) she can work in this contract for 3 years. Of course depends also on the job type, if she is slams or ambassador is much easier to get time off.",Positive
PE2wHqiwTf0,Amazon can be very lazy or not care. When I worked there I was negative 400 hours of UPT. I ended up quitting. They never fired me lol,Negative
PE2wHqiwTf0,Nope not Me bro my shift is 1:20 to 11:50,Neutral
PE2wHqiwTf0,"I was 5 minutes late to my shift once and they almost fired me, how tf does this chick still have a job? I'd be pissed if I worked with her",Negative
PE2wHqiwTf0,This is typical for this generation I fired about 15 (not a joke) before I closed the position.  They will not put on a uniform or show up on time.,Negative
PE2wHqiwTf0,Ya....she doesnt work. She wouldnt be so high calorie if she was working,Neutral
PE2wHqiwTf0,"I'm pretty tolerant with my team and have only ever fired one person for some pretty extreme behaviour, but honestly I'd have fired her a LONG time ago.",Positive
PE2wHqiwTf0,Im happy i can show up pretty much whenever i want for work. At least anytime between 2am-5am is ideal for me,Positive
PE2wHqiwTf0,"Amazon must be desperate for employees.
Maybe she is lying. Her story is hard to believe.",Negative
PE2wHqiwTf0,These are the types of people that expect $50/hr for a 0 skill job,Neutral
PE2wHqiwTf0,Why not work third shift if you aren't a morning person? People like this make no sense,Positive
PE2wHqiwTf0,I used to work for a amazon warehouse. You can’t pay me a $100 bucks a hour to work there again.,Positive
PE2wHqiwTf0,"Once worked with a dude that was great at his job, only he was late every. Single. Day! Thankfully it was by a few minutes, the occasionally 15 at most. It's interesting how some people cannot manage their time. We all have our strong suits though.",Positive
PE2wHqiwTf0,"DUDE, IF I SHOWED UP FOR MY BOSS AT 1:00PM WHEN I WAS SUPPOSED TO BE THERE AT 7:30, HE WOULD HAVE SLAPPED ME ACROSSED THE FACE, AND THEN FIRE ME!!!!",Negative
PE2wHqiwTf0,"Something's not adding up. Amazon is notorious for heavily monitoring workers' performance, she should've been fired within a month of regularly showing up late.",Negative
PE2wHqiwTf0,Not sure what she’s got going on but I’ve got depression bad when my wife passed away I had the same response took a year off work and even when I came back getting out of bed was hard especially in the mornings,Negative
PE2wHqiwTf0,She wouldn't make 2 days working for me !!,Neutral
PE2wHqiwTf0,As long as she shows up at some point she will always have a job! They are hurting for workers~!,Negative
PE2wHqiwTf0,She aint gonna be working there for long if shes still there,Neutral
